CORE_NO,permeability,porosity,perm_quality
5,799,0.197,very good
5,67.7,0.179,good
5,7.46,0.122,fair
5,64.6,0.207,good
5,1580,0.195,very good
5,146,0.194,good
5,232,0.196,good
5,4.34,0.18,fair
5,0.224,0.081,poor
5,0.155,0.099,poor
5,0.159,0.105,poor
5,35.3,0.182,moderate
5,68.2,0.212,good
5,1.86,0.126,fair
5,146,0.222,good
5,36.4,0.194,moderate
5,8.92,0.172,fair
6,45.5,0.219,moderate
6,7.79,0.176,fair
6,122,0.228,good
6,0.162,0.095,poor
6,0.521,0.1,poor
6,0.126,0.083,poor
6,0.319,0.097,poor
6,1.52,0.145,fair
6,2.17,0.145,fair
6,15.7,0.158,moderate
6,32.5,0.157,moderate
6,35.1,0.167,moderate
6,0.365,0.13,poor
6,2.11,0.148,fair
6,602,0.226,very good
6,31.7,0.17,moderate
6,549,0.202,very good
6,0.165,0.038,poor
6,0.08,0.047,poor
6,6.17,0.145,fair
6,2.31,0.15,fair
6,10.3,0.148,moderate
6,998,0.193,very good
6,958,0.222,very good
6,65.6,0.152,good
6,77.8,0.171,good
6,8.7,0.139,fair
6,0.066,0.052,poor
6,0.04,0.033,poor
6,0.037,0.029,poor
6,29.7,0.161,moderate
6,94.5,0.176,good
6,1.67,0.152,fair
6,2.93,0.179,fair
6,1.77,0.143,fair
6,0.99,0.129,poor
6,4.23,0.148,fair
6,3.76,0.163,fair
6,0.863,0.126,poor
6,161,0.227,good
6,46.2,0.203,moderate
6,15.6,0.25,moderate
6,3.69,0.137,fair
6,30.9,0.115,moderate
6,136,0.148,good
6,202,0.157,good
6,165,0.172,good
6,131,0.16,good
6,213,0.168,good
6,222,0.155,good
6,238,0.169,good
6,0.11,0.052,poor
6,0.06,0.062,poor
6,0.065,0.084,poor
6,84.5,0.191,good
6,1410,0.228,very good
6,4.74,0.132,fair
6,0.122,0.092,poor
6,0.193,0.103,poor
6,304,0.219,very good
6,10.7,0.173,moderate
6,1.26,0.143,fair
6,58.1,0.178,good
6,2.7,0.046,fair
6,1.2,0.136,fair
6,55.3,0.209,good
6,99.6,0.216,good
6,537,0.203,very good
6,0.071,0.048,poor
6,1.26,0.129,fair
6,8.7,0.184,fair
6,2.31,0.178,fair
6,105,0.212,good
6,73.3,0.198,good
6,9.85,0.13,fair
6,0.228,0.051,poor
6,0.38,0.062,poor
6,0.583,0.077,poor
6,8.99,0.126,fair
6,0.462,0.042,poor
6,231,0.169,good
6,75.5,0.14,good
6,3.94,0.078,fair
6,1.12,0.089,fair
6,2.29,0.16,fair
6,2.22,0.107,fair
6,3.2,0.106,fair
6,1.3,0.075,fair
6,1.68,0.12,fair
6,0.364,0.059,poor
6,4.32,0.148,fair
6,2.22,0.173,fair
6,0.104,0.102,poor
6,6.72,0.164,fair
6,24.4,0.159,moderate
6,35.8,0.179,moderate
6,8.25,0.107,fair
6,5.57,0.116,fair
6,7.54,0.118,fair
6,5.08,0.115,fair
